config,p_depth,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
lab_default,0.05,2000,0,0.7344795445033483,0.00604248046875,0.0014364105834630326,1.939359919338668e-05,5.437424241693512e-06,190413.89523809523
lab_default,0.1,1000,0,0.7354329136439733,0.006646728515624978,0.0015281949921814465,1.874758172602039e-05,7.502896581398758e-06,214911.50952380954
lab_default,0.05,5000,0,0.7368447440011161,0.004632568359374978,0.00157927400197449,1.7751823444108588e-05,4.509288616958831e-06,239167.3
lab_default,0.1,500,0,0.737963082449777,0.005236816406249956,0.0012751114670281494,1.6962408717626774e-05,6.66049637835027e-06,252656.56666666668
lab_default,0.05,500,0,0.7391850062779017,0.005639648437499978,0.0013194090368968089,1.6065536078401548e-05,5.389104422279436e-06,252601.8523809524
lab_default,0.05,200,0,0.7388128662109376,0.004431152343750022,0.0010687588492563297,1.6294933589015025e-05,4.1981214295780875e-06,253271.87142857144
lab_default,0.1,200,0,0.7387418910435269,0.006243896484375067,0.0015803966525937245,1.62994719594592e-05,7.300212691664927e-06,248943.2238095238
lab_default,0.05,1000,0,0.7390066092354911,0.006646728515624978,0.001966126528820152,1.620264357533818e-05,5.907028808948992e-06,247338.40952380953
lab_default,0.1,2000,0,0.732333025251116,0.009063720703125,0.0023495929718156863,2.0547254061085085e-05,8.37873910986374e-06,122013.05238095239
lab_default,0.1,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.4640789917791312e-05,7.073188762992382e-06,240769.2619047619
lab_default,0.25,500,0,0.7353159005301338,0.007250976562500067,0.0023291132237945413,1.871032538921005e-05,1.2984741138922855e-05,211425.5
lab_default,0.05,100,0,0.7387721824190783,0.003625488281249978,0.0006286431541430443,1.6320533218233388e-05,2.887826126722069e-06,255743.1551312649
lab_default,0.1,100,0,0.7387116134024464,0.005236816406249956,0.0008417067535571085,1.632206140802069e-05,4.376015721817123e-06,254249.94272076373
lab_default,0.25,1000,0,0.7308770751953126,0.006445312500000022,0.001490294888254669,2.133044308954985e-05,1.21224201549218e-05,83956.7
lab_default,0.25,200,0,0.7386517333984376,0.007653808593749978,0.0021807551891768195,1.619442798611035e-05,1.2388699632012254e-05,244884.42857142858
best_rejection,0.05,500,0,0.73974609375,0.002618408203124978,0.0005146081753061373,1.5606452061156096e-05,1.7269339366678497e-06,250941.54166666666
best_rejection,0.05,1000,0,0.7393691580636159,0.0028198242187500444,0.0006353433815243037,1.5917226763915002e-05,2.742871683601812e-06,253998.09523809524
lab_default,0.25,2000,0,0.7440573556082589,0.01007080078125,0.0025300271874532897,1.2729120659245847e-05,1.1769140737262514e-05,207198.0761904762
lab_default,0.25,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.4594130279784574e-05,9.944578469496577e-06,280626.7761904762
lab_default,0.25,100,0,0.7394413258409159,0.008459472656250022,0.002310129811851539,1.5639418628834303e-05,1.1874104715019823e-05,241040.22434367542
best_rejection,0.05,200,0,0.7387757111656815,0.005438232421875022,0.001428125844870906,1.6294688824074203e-05,2.896925006813358e-06,246889.24200278166
best_rejection,0.05,2000,0,0.7374988664899556,0.0016113281249999778,0.00030823710918697174,1.730646947108723e-05,2.380544750155457e-06,252501.58571428573
best_rejection,0.05,5000,0,0.7376293073381697,0.002618408203124978,0.0004722562771380403,1.720071230616826e-05,2.691874778481957e-06,254889.6857142857
best_rejection,0.1,500,0,0.7391446431477866,0.0014099121093750222,0.0002788338144092471,1.6004789872759672e-05,3.1451332215191836e-06,254213.03125
lab_default,0.05,50,0,0.7385828380516354,0.002618408203124978,0.0005294645546794334,1.645969151184998e-05,3.182097892510412e-06,255793.77180406213
lab_default,0.1,50,0,0.738504389280914,0.003021240234375,0.0004959751032533587,1.6476372827896075e-05,4.20515111829257e-06,255368.10035842293
best_rejection,0.1,1000,0,0.7369176374162946,0.0012084960937499556,0.00027116079317522564,1.768886820471817e-05,3.493175655306766e-06,247079.94761904763
