_kstep,_drift_rate,drift_total_K,in_lock_frac,in_lock_frac_last20,v_dev_rms_mV,v_dev_rms_mV_last20,v_dev_abs_max_mV,drop_loss_rms_pct,drop_loss_rms_pct_last20,drop_loss_abs_max_pct,energy_loss_pct,v_heater_drift_mV,frozen_v_dev_abs_max_mV,frozen_drop_loss_rms_pct,frozen_drop_loss_abs_max_pct,window_time_us,ss_acq_v_dev_mV,ss_acq_drop_ref_A,_wall_s
3,100.0,4.0200000000000005,0.44333333333333336,0.13333333333333333,5.788617581609693,6.107295765444904,10.281982421877501,55.1426864382059,70.62032970897161,74.71192618339126,55.565127072183685,9.466552734374911,2.608642578122544,36.9472201719847,59.1734034812612,134.0,-2.4117024739558395,1.857768173746447e-05,280.0870893765241
3,250.0,10.05,0.16333333333333333,0.0,14.84622721329996,20.720431291969785,23.575439453127455,78.07020455729582,92.49927543345127,93.78594140454017,81.63247369834166,25.982666015624932,2.608642578122544,64.32389092238697,87.29926688501452,134.0,-2.4117024739558395,1.857768173746447e-05,226.4223135970533
3,500.0,20.1,0.15,0.0,15.141495833142258,19.78627631960913,21.158447265627434,85.57296950926191,96.60580036468548,97.03398201665553,87.96478215822093,22.76000976562498,2.608642578122544,79.90685840677568,95.84700962051136,134.0,-2.4117024739558395,1.857768173746447e-05,195.3595480248332
3,750.0,30.150000000000002,0.15,0.0,15.006992324629085,22.82934248065062,26.3952636718775,88.87943965717433,97.92438107545009,98.18391049958636,90.76110236347436,28.80249023437498,2.608642578122544,86.00034175308308,97.73249472862983,134.0,-2.4117024739558395,1.857768173746447e-05,190.01212469115853
3,1000.0,40.2,0.13666666666666666,0.0,15.186019551567616,24.51949933037925,29.617919921877455,91.07310243597884,98.39288148070393,98.50885330218044,92.80550084897283,32.025146484374936,2.608642578122544,89.19734562195615,98.35638810847837,134.0,-2.4117024739558395,1.857768173746447e-05,189.9672497883439
3,1500.0,60.300000000000004,0.16333333333333333,0.0,15.817719343554307,28.291439215191154,33.24340820312743,93.00056488554469,98.3870667800034,98.53659912971237,94.21290956189402,36.053466796874936,2.608642578122544,92.42102775956442,98.53660229044903,134.0,-2.4117024739558395,1.857768173746447e-05,197.22522601671517
3,2000.0,80.4,0.17,0.0,20.128846106801365,32.89425982735121,34.25048828125243,93.84080414733293,96.25106636153205,98.53657529291551,95.5046804127268,36.45629882812496,2.608642578122544,93.80136059991702,98.53660264576696,134.0,-2.4117024739558395,1.857768173746447e-05,209.35708562284708
3,3000.0,120.60000000000001,0.31666666666666665,0.0,11.553121042756004,14.814720604030141,19.144287109377434,88.86086626031533,74.52804679339701,98.53658005946107,90.53513646938298,21.954345703124932,2.608642578122544,88.80544604455187,98.53660264518498,134.0,-2.4117024739558395,1.857768173746447e-05,242.11860509961843
3,5000.0,201.0,0.22333333333333333,0.0,17.472031412226595,26.849396383240013,28.610839843752455,90.22766974211876,85.6387245777386,98.58237316633158,91.8197258312734,27.59399414062502,2.608642578122544,91.37318411598987,98.58229973612785,134.0,-2.4117024739558395,1.8577681737286698e-05,275.41109705530107
4,100.0,4.0200000000000005,0.34,0.4,7.2692654216180905,5.142748669420379,14.290771484372522,42.97551766747729,39.372078741707575,56.545566144313156,-40.80320453803841,-1.2084960937500666,9.073486328127434,40.07957206827894,60.26075008019824,134.0,8.67960611979416,1.0978356475237782e-05,279.2922876458615
