knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
goertzel_total,260,2000,0,0.737301286969866,0.0018127441406249334,0.0004611870177090873,1.742459803419949e-05,3.856994137406336e-06,4031250.9523809524
goertzel_total,260,5000,0,0.7328893171037947,0.005035400390625,0.001273306585321487,2.0359615593641755e-05,4.220534114831675e-06,2299925.842857143
goertzel_total,68,50,0,0.7385491483954973,0.0032226562499999556,0.00047968065059608283,1.6442423083184012e-05,4.126085174718238e-06,255480.19235364397
goertzel_total,20,50,0,0.7390695019722922,0.003625488281249978,0.000695741089629713,1.6059433283009945e-05,4.6535388930965685e-06,15915.077526987243
goertzel_total,260,50,0,0.7386622444528049,0.006646728515624978,0.0011291608371676797,1.6356142824837447e-05,5.1778570086316764e-06,4038898.9774590163
goertzel_total,1028,50,0,0.7389279610770091,0.009265136718750067,0.002437375350993316,1.6251433389251462e-05,8.804143373809282e-06,61906006.32857143
goertzel_total,1028,100,0,0.7387821742466519,0.006646728515625089,0.001773166905156207,1.6346551648596594e-05,7.59008099465125e-06,63795657.73809524
goertzel_total,1028,1000,0,0.7378671700613839,0.002618408203124978,0.0006593368066218981,1.702075001389299e-05,3.4664031284521596e-06,65191627.276190475
goertzel_total,1028,200,0,0.7382489013671876,0.007452392578124911,0.002009241838477543,1.674913655566239e-05,7.882620050568034e-06,62928717.55238095
goertzel_total,1028,500,0,0.7374298095703125,0.003021240234375,0.0007793995536579421,1.7329121148464666e-05,4.500616360573888e-06,64446045.90952381
kstep,3,200,0,0.7397086879185268,0.004229736328125067,0.0013280485922322566,1.5604736363600316e-05,5.802478930357476e-06,249442.8619047619
goertzel_total,1028,2000,0,0.7388819231305804,0.00201416015625,0.0004805287234629174,1.6269933230580778e-05,1.5039880523536987e-06,65504606.038095236
kstep,3,100,0,0.7387116134024464,0.004833984374999933,0.0007808404671708405,1.6317065885392502e-05,4.163951069391474e-06,254184.6276849642
goertzel_total,1028,5000,0,0.7385155378069197,0.00201416015625,0.0005953069551975743,1.653901060164241e-05,1.649794552476575e-06,65434861.93809524
kstep,3,1000,0,0.7346234130859376,0.0038269042968750444,0.0010424794222283137,1.9310422992612897e-05,5.5969321922551285e-06,198842.1857142857
kstep,3,2000,0,0.7318937465122769,0.009265136718750067,0.002672698304685112,2.0709319860216338e-05,8.435489824931483e-06,108654.47619047618
kstep,3,500,0,0.7381779261997767,0.004833984375000044,0.0012036393334064702,1.6790284673546638e-05,6.160947368190751e-06,254033.94761904763
kstep,3,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.464077564896999e-05,7.073283327562786e-06,240742.7
goertzel_total,1028,25,0,0.7392689689261015,0.007250976562499956,0.0017405990274654767,1.5912456256153246e-05,6.0930247427959985e-06,63070563.98907104
kstep,4,200,0,0.7389941406250001,0.00604248046875,0.0010653461794702139,1.6095234691357674e-05,4.3794132236497574e-06,251927.92857142858
kstep,4,500,0,0.7387447684151786,0.01007080078125,0.002321254971322084,1.6386226076839648e-05,9.34664847056555e-06,243964.94761904763
