mh_voltage_V,dac_code,adc_code,drop_current_A,through_current_A
0.05,0,120,9.119959779476703e-07,0.000965280499046213
0.0590909090909091,0,118,8.99288726267058e-07,0.0009657535266436641
0.06818181818181818,0,116,8.839641900108052e-07,0.0009663240775767052
0.07727272727272727,0,114,8.66999824366684e-07,0.0009669558037805052
0.08636363636363636,0,111,8.486415381593088e-07,0.0009676395843292245
0.09545454545454546,0,109,8.289203910803674e-07,0.0009683742991877209
0.10454545454545455,0,106,8.082512322502892e-07,0.0009691445270428572
0.11363636363636363,0,103,7.866731083780206e-07,0.0009699488426558872
0.12272727272727273,0,100,7.64440217062833e-07,0.000970777797738267
0.13181818181818183,0,97,7.416938039737107e-07,0.000971626147277599
0.14090909090909093,0,94,7.187021065719033e-07,0.0009724839016750423
0.15,0,91,6.95586939412663e-07,0.0009733465236408943
0.1590909090909091,360,88,6.725014933855415e-07,0.0009742082974871041
0.16818181818181818,720,85,6.495873617500397e-07,0.0009750639317209559
0.17727272727272725,1080,82,6.269616294707989e-07,0.0009759090415889524
0.18636363636363634,1448,79,6.047527579820281e-07,0.0009767388092213585
0.19545454545454544,1808,76,5.830525429897228e-07,0.0009775497786818463
0.20454545454545453,2168,74,5.619296194535939e-07,0.000978339352924705
0.21363636363636362,2528,71,5.414544284997487e-07,0.000979104861341322
0.22272727272727272,2888,68,5.216985359952375e-07,0.0009798435854835063
0.2318181818181818,3248,66,5.026956367853505e-07,0.0009805542180214958
0.2409090909090909,3608,64,4.844813849595654e-07,0.0009812353742672192
0.25,3968,61,4.670797359765942e-07,0.0009818861034098431
0.2590909090909091,4336,59,4.50509512421874e-07,0.0009825056434940237
0.2681818181818182,4696,57,4.3472382727205547e-07,0.0009830956857368922
0.2772727272727273,5056,55,4.198411035685709e-07,0.0009836517401154803
0.2863636363636364,5416,53,4.0584948310727744e-07,0.000984174186995255
0.29545454545454547,5776,51,3.926033957798051e-07,0.000984668392101184
0.3045454545454545,6136,50,3.802446196885901e-07,0.0009851289937525024
0.3136363636363636,6496,48,3.6871804497689515e-07,0.000985557977367162
0.3227272727272727,6864,47,3.580024479453858e-07,0.0009859560586069792
0.3318181818181818,7224,46,3.4807894213227023e-07,0.0009863238596181363
0.3409090909090909,7584,44,3.3897227004859423e-07,0.0009866603840054352
0.35,7944,43,3.3063506962556783e-07,0.000986967297833192
0.35909090909090907,8304,42,3.2307299742364545e-07,0.0009872442983231923
0.36818181818181817,8664,41,3.16277185029511e-07,0.0009874916101765972
0.37727272727272726,9024,41,3.102651719542687e-07,0.0009877084946018
0.38636363636363635,9392,40,3.0497074177333e-07,0.000987897200906434
0.39545454545454545,9752,39,3.0046425124444926e-07,0.000988055061303132
0.40454545454545454,10112,39,2.9672766006868936e-07,0.0009881825520096296
0.41363636363636364,10472,39,2.937846589046275e-07,0.0009882786709975184
0.4227272727272727,10832,38,2.916289223597253e-07,0.0009883433341100595
0.43181818181818177,11192,38,2.9029669450182416e-07,0.0009883749369308734
0.44090909090909086,11552,38,2.8983146414988207e-07,0.000988371735423758
0.44999999999999996,11912,38,2.9026954410556874e-07,0.0009883319551492506
0.45909090909090905,12280,38,2.9166652176891115e-07,0.0009882531782350419
