target_mode,knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes,drift_V
iadc_value,step_size_track,8,500,0,0.7329058619907924,0.0040283203125,0.0011718886463431492,64.95861624126235,203.0,0.0,-0.0004685910885839339
iadc_value,step_size_track,8,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.33226595788506,369.0,0.0,-8.200613807277057e-05
iadc_value,step_size_track,8,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.80856586520625,387.0,0.0,-2.373861891569515e-05
iadc_value,step_size_track,16,500,0,0.7330389404296875,0.004431152343749911,0.0014343026666541537,30.507724013596885,130.0,0.0,-0.0005166386698569027
iadc_value,step_size_track,8,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.53441807142283,394.0,0.0,-4.316112530072334e-06
iadc_value,step_size_track,16,1000,0,0.733099365234375,0.0040283203125,0.001174447097960792,82.64294851211149,238.0,0.0,-0.00021580562650678177
iadc_value,step_size_track,8,200,0,0.7329528808593752,0.004229736328124956,0.0014179997345724706,12.047265792022442,58.0,0.0,-6.782814883066558e-05
iadc_value,step_size_track,16,200,0,0.7329449821920957,0.004431152343749911,0.0014415972262602197,21.73588527156587,91.0,0.0,-7.647562342091433e-05
iadc_value,step_size_track,8,100,0,0.7329527501864268,0.004229736328124956,0.0014162764245419664,9.823013927183156,42.0,0.0,-7.598492277845227e-05
iadc_value,step_size_track,16,100,0,0.7329412509669799,0.004431152343749911,0.0014403364090127503,20.90583765491116,84.0,0.0,-7.860071518857016e-05
iadc_value,step_size_track,16,2000,0,0.73330078125,0.00201416015625,0.0006042480468749926,149.75993016716276,410.0,0.0,-4.747723783201354e-05
iadc_value,step_size_track,16,5000,0,0.733502197265625,0.0008056640625000444,0.0002848452609760419,139.29467718415066,387.0,0.0,-8.632225060408476e-06
iadc_value,step_size_track,32,500,0,0.7329554966517857,0.004833984374999933,0.001481720684924983,48.11823236273633,201.0,0.0,-0.0006297824768974569
iadc_value,step_size_track,32,1000,0,0.7329900251116073,0.004833984374999933,0.0014562912061497596,58.41887974109125,240.0,0.0,-0.00024466192170800454
iadc_value,step_size_track,32,200,0,0.7329119514016545,0.004833984374999933,0.0014958525543728603,44.41788666867533,173.0,0.0,-5.8980998983904254e-05
iadc_value,step_size_track,8,50,0,0.7329543025618098,0.004229736328124956,0.0014145177180471175,9.137516167231885,39.0,0.0,-7.960161403833545e-05
iadc_value,step_size_track,32,2000,0,0.732293701171875,0.0040283203125,0.0012084960937500074,122.17072316839986,320.0,0.0,-0.00011221892578368755
iadc_value,step_size_track,32,5000,0,0.733502197265625,0.0016113281249999778,0.0005696905219520446,147.467397988124,387.0,0.0,-1.7264450120311642e-05
iadc_value,step_size_track,16,50,0,0.7329436969884748,0.004431152343749911,0.00143685168138807,20.39026052450374,80.0,0.0,-8.3882057304376e-05
iadc_value,step_size_track,32,100,0,0.7329063939580314,0.004833984374999933,0.00148567623402963,43.87519196418344,165.0,0.0,-7.63349773509209e-05
iadc_value,step_size_track,56,500,0,0.733099365234375,0.005639648437499978,0.0017267826250699104,80.1163299616914,293.0,0.0,-0.000604255754218668
iadc_value,step_size_track,56,1000,0,0.7330993652343751,0.005639648437499978,0.0016075471386590447,87.37100104714143,316.0,0.0,-0.00027191508939864453
iadc_value,step_size_track,56,2000,0,0.7332403564453126,0.005639648437499978,0.0016013523289548943,127.63833631773481,389.0,0.0,-0.0001480426597839375
iadc_value,step_size_track,56,200,0,0.7329737046185663,0.005639648437499978,0.0017185999284897132,76.46616460452695,281.0,0.0,-7.020889227911315e-05
iadc_value,step_size_track,56,5000,0,0.733099365234375,0.0028198242187499334,0.0009969584134160684,169.865903895168,395.0,0.0,-3.0212787711056564e-05
iadc_value,step_size_track,8,25,0,0.732953775751088,0.004229736328124956,0.0014142422405980586,9.037164676268278,38.0,0.0,-8.191974834665796e-05
iadc_value,adc_dead_zone,0,500,0,0.7330892944335937,0.0038269042968750444,0.0011499690382744182,64.98531388250858,200.0,0.0,-0.00041931033230244744
iadc_value,step_size_track,56,100,0,0.7329723347945473,0.005639648437499978,0.0017115166271801274,77.48197963884148,291.0,0.0,-8.579029756427607e-05
iadc_value,adc_dead_zone,0,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.3231370085847,369.0,0.0,-8.200613807277057e-05
iadc_value,step_size_track,32,50,0,0.7329129588013513,0.004833984374999933,0.0014784262207789725,43.07968563136324,159.0,0.0,-8.048041878362127e-05
iadc_value,adc_dead_zone,0,200,0,0.7329614975873162,0.004229736328124956,0.0014116076384677514,13.65810320739565,61.0,0.0,-8.023105421578908e-05
iadc_value,adc_dead_zone,0,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.82246939039723,387.0,0.0,-2.373861891569515e-05
iadc_value,adc_dead_zone,0,100,0,0.7329561640172001,0.004229736328124956,0.0014155906704302983,10.951808342888079,50.0,0.0,-7.296714462197377e-05
iadc_value,adc_dead_zone,0,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.43849272188447,394.0,0.0,-4.316112530072334e-06
iadc_value,step_size_track,16,25,0,0.7329454602048058,0.004431152343749911,0.0014378335873926203,20.15391492027548,79.0,0.0,-8.347170420070953e-05
