target_mode,knob,knob_value,rc,converged,lock_tick,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes
iadc_value,ctrl_dec,125,0,True,166,0.7331662641252791,0.0002014160156250666,9.48633040297306e-05,6.491398350973418,15.0,0.0
iadc_value,ctrl_dec,250,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,8.533905217736256,18.0,0.0
iadc_value,adc_dead_zone,0,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,adc_dead_zone,3,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,adc_dead_zone,1,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,step_size_track,8,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
peak_ratio,step_size_track,8,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,ctrl_dec,500,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,adc_dead_zone,2,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.5,19.0,0.0
iadc_value,step_size_track,16,0,False,300,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.419624712635198,39.0,0.0
iadc_value,ctrl_dec,1000,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.49322798372716,19.0,0.0
iadc_value,step_size_track,32,0,False,300,0.733099365234375,0.0008056640624999334,0.0004028320312499667,39.45411940805809,79.0,0.0
iadc_value,step_size_track,56,0,False,300,0.7338043212890625,0.0014099121093750222,0.0007049560546875111,68.97872009924954,138.0,0.0
iadc_value,ctrl_dec,2000,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
peak_ratio,ctrl_dec,125,0,True,166,0.7331662641252791,0.0002014160156250666,9.48633040297306e-05,6.491398350973418,15.0,0.0
peak_ratio,step_size_track,16,0,False,300,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.423133430136804,39.0,0.0
peak_ratio,ctrl_dec,250,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,8.541405006777042,18.0,0.0
peak_ratio,adc_dead_zone,2,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
peak_ratio,adc_dead_zone,0,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
peak_ratio,adc_dead_zone,1,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
peak_ratio,adc_dead_zone,3,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
peak_ratio,step_size_track,32,0,False,300,0.733099365234375,0.0008056640624999334,0.0004028320312499667,39.44703485274234,79.0,0.0
peak_ratio,ctrl_dec,500,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.48644575492974,19.0,0.0
peak_ratio,ctrl_dec,1000,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.49322798372716,19.0,0.0
peak_ratio,step_size_track,56,0,False,300,0.7338043212890625,0.0014099121093750222,0.0007049560546875111,68.97872009924954,138.0,0.0
peak_ratio,ctrl_dec,2000,0,False,300,0.7332000732421876,0.0002014160156250666,0.0001007080078125333,9.496615267062904,19.0,0.0
