target_mode,config,p_depth,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes,drift_V
iadc_value,lab_default,0.05,500,0,0.7331267002650671,0.00201416015625,0.0007060694229832727,9.385126503665036,45.0,0.0,-0.00026337535246356874
iadc_value,lab_default,0.1,500,0,0.7329331970214844,0.0040283203125,0.001171385164577293,65.10021307451258,221.0,0.0,-0.0005950840150926721
iadc_value,lab_default,0.05,1000,0,0.733099365234375,0.00201416015625,0.0005872235489803922,41.11894626990019,119.0,0.0,-0.00010790281325311909
iadc_value,lab_default,0.05,2000,0,0.7332000732421876,0.001007080078125,0.0003021240234375,74.69986066702849,205.0,0.0,-2.3738618915688873e-05
iadc_value,lab_default,0.1,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.315334564691,369.0,0.0,-8.200613807277057e-05
iadc_value,lab_default,0.05,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,70.4644517954744,198.0,0.0,-4.316112530072334e-06
iadc_value,lab_default,0.05,200,0,0.733078182444853,0.00201416015625,0.0006988023440264825,9.440254576101013,40.0,0.0,-3.701672071630841e-05
iadc_value,lab_default,0.1,200,0,0.7329510857077207,0.004229736328124956,0.00141799164403498,11.580446818535993,56.0,0.0,-6.144622042531912e-05
iadc_value,lab_default,0.05,100,0,0.7330792416003429,0.00201416015625,0.0007004900674855021,8.952264610048719,39.0,0.0,-3.0045068564347126e-05
iadc_value,lab_default,0.1,100,0,0.7329525705111228,0.004229736328124956,0.0014150179547603192,9.836949519471542,41.0,0.0,-7.454623695120665e-05
iadc_value,lab_default,0.1,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.76518281221047,387.0,0.0,-2.373861891569515e-05
iadc_value,lab_default,0.1,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.53440143446159,394.0,0.0,-4.316112530072334e-06
iadc_value,lab_default,0.25,500,0,0.73330078125,0.0040283203125,0.0011657794732424218,326.83582472937485,926.0,0.0,-0.00025033452674743707
iadc_value,lab_default,0.25,1000,0,0.733502197265625,0.00201416015625,0.0005872235489803884,344.7969300130565,964.0,0.0,-5.610946289196117e-05
iadc_value,lab_default,0.05,50,0,0.733078873109626,0.00201416015625,0.0007006616252541034,8.769545691818221,36.0,0.0,-3.708690780860158e-05
iadc_value,lab_default,0.25,200,0,0.7319231818704045,0.009869384765625044,0.002884196549478053,201.54080275332862,615.0,0.0,-0.0003366678428940227
iadc_value,lab_default,0.25,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,343.14727872731146,939.0,0.0,-2.373861891569515e-05
iadc_value,lab_default,0.1,50,0,0.7329540329285894,0.004229736328124956,0.001414739581821372,9.153145799092817,39.0,0.0,-7.409440555085711e-05
iadc_value,lab_default,0.25,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,348.7574207388398,986.0,0.0,-4.316112530072334e-06
iadc_value,lab_default,0.25,100,0,0.7318549340798534,0.013293457031250067,0.004290725544276037,16.554873363241494,72.0,0.0,-0.0002997621167606892
iadc_value,fast_small_step,0.05,1000,0,0.7330832160660844,0.00201416015625,0.0007048832249530833,7.1605887592301105,33.0,0.0,-3.048815046087275e-05
iadc_value,fast_small_step,0.05,2000,0,0.7331396484375001,0.00201416015625,0.0007188766276134092,9.411764647265155,43.0,0.0,-0.00026528677372683075
iadc_value,fast_small_step,0.05,5000,0,0.7330892944335938,0.0016113281249999778,0.00047225505968491514,72.20343558096025,195.0,0.0,-7.090756302461842e-07
iadc_value,fast_small_step,0.05,500,0,0.7330787071814905,0.00201416015625,0.0007020732409933748,6.30662191970712,28.0,0.0,-3.083842292986475e-05
iadc_value,fast_small_step,0.05,200,0,0.7330787832318858,0.00201416015625,0.0007020914712944282,5.958460952024777,30.0,0.0,-3.576773814541107e-05
iadc_value,fast_small_step,0.1,1000,0,0.7329396679035007,0.004229736328124956,0.00141505307786271,8.190428537468769,39.0,0.0,-4.3460300990737706e-05
iadc_value,lab_default,0.25,50,0,0.7318994075259371,0.013494873046875022,0.004269485176303491,9.566896125722408,48.0,0.0,-0.0002693685738476741
iadc_value,fast_small_step,0.1,2000,0,0.73289794921875,0.0040283203125,0.0011657794732424277,71.61566488298948,216.0,0.0,-0.0004229790279530152
iadc_value,fast_small_step,0.1,500,0,0.7329500434390678,0.004229736328124956,0.0014138041092135803,7.361031713745318,32.0,0.0,-6.756456346619814e-05
iadc_value,fast_small_step,0.05,100,0,0.7330795427699942,0.00201416015625,0.0007025333116867617,5.742237337314762,28.0,0.0,-3.972395493791285e-05
iadc_value,lab_default,0.05,25,0,0.7330795427699941,0.00201416015625,0.0007002744848928179,8.404116882814014,36.0,0.0,-3.839444649051831e-05
iadc_value,fast_small_step,0.1,5000,0,0.7330921718052456,0.0016113281249999778,0.0004723076507994951,151.6323487375747,417.0,0.0,-1.0790281321893544e-06
iadc_value,fast_small_step,0.1,200,0,0.7329511568409054,0.004229736328124956,0.0014141851798579348,6.337594690169543,32.0,0.0,-7.765197656712204e-05
iadc_value,lab_default,0.1,25,0,0.7329546297801657,0.004229736328124956,0.0014147747126441582,9.026182997906623,37.0,0.0,-8.17155974794292e-05
iadc_value,fast_small_step,0.25,1000,0,0.7321878344019698,0.008056640625,0.002327796093156852,262.1107912780968,771.0,0.0,-0.0003384268624440534
iadc_value,fast_small_step,0.25,2000,0,0.7330993652343751,0.0040283203125,0.001165779473242424,335.8762201393574,948.0,0.0,-0.0002503345267482763
iadc_value,fast_small_step,0.25,500,0,0.7316719386888588,0.013092041015625,0.0040841215821749155,72.08014149893923,252.0,0.0,-0.000357159163365896
iadc_value,fast_small_step,0.1,100,0,0.7329513485105515,0.004229736328124956,0.0014142463492803439,6.1302621825618635,28.0,0.0,-8.154731746125308e-05
iadc_value,fast_small_step,0.25,5000,0,0.7338978358677456,0.0016113281250000888,0.00047230765079949523,344.7501663990068,962.0,0.0,-1.0790281329044749e-06
iadc_value,fast_small_step,0.05,50,0,0.7330794281731253,0.00201416015625,0.0007023598438206273,5.578345250577032,28.0,0.0,-3.814530105801882e-05
iadc_value,fast_small_step,0.25,200,0,0.7319001265478582,0.013494873046875022,0.004267282525423028,6.6714474022546435,36.0,0.0,-0.0002655434149674702
iadc_value,lab_default,0.25,25,0,0.7319007578983661,0.013494873046875022,0.004268236637136359,8.515798551900568,42.0,0.0,-0.0002805123189640934
iadc_value,fast_small_step,0.25,100,0,0.7319025109054202,0.013494873046875022,0.004264296786409694,5.872638949832414,34.0,0.0,-0.000276274623641045
iadc_value,slow_wide_dead,0.05,100,0,0.7330864631408475,0.002416992187500022,0.0007401810711829752,19.53462115034598,74.0,0.0,-1.744789193167345e-05
iadc_value,fast_small_step,0.1,50,0,0.7329519388705223,0.004229736328124956,0.0014139027729840614,5.898146881148314,29.0,0.0,-8.197252419134176e-05
iadc_value,slow_wide_dead,0.05,200,0,0.7331410871233259,0.002416992187500022,0.0007357285146996405,23.16371166858425,105.0,0.0,-0.00011644255018829448
iadc_value,slow_wide_dead,0.05,50,0,0.7330785414751839,0.002416992187500022,0.0007420259743517647,19.973916252476577,81.0,0.0,-3.614122151232297e-05
iadc_value,slow_wide_dead,0.05,500,0,0.73289794921875,0.00201416015625,0.0006042480468749852,59.61090632645359,156.0,0.0,-5.6109462892104334e-05
iadc_value,fast_small_step,0.25,50,0,0.7319000397392609,0.013494873046875022,0.004268775474935274,5.659693972110697,34.0,0.0,-0.0002797860661732067
iadc_value,slow_wide_dead,0.05,1000,0,0.7333899797712053,0.0012084960937499556,0.00034908815524961617,79.98416903311784,228.0,0.0,-1.3626583844824562e-05
iadc_value,fast_small_step,0.05,25,0,0.7330793259086756,0.00201416015625,0.0007022814611655851,5.455946752054837,28.0,0.0,-3.962718954143912e-05
iadc_value,slow_wide_dead,0.05,25,0,0.7330788822497353,0.002416992187500022,0.000742853936026788,19.258720916645245,73.0,0.0,-3.499007024644923e-05
iadc_value,slow_wide_dead,0.05,2000,0,0.7333612060546876,0.0008056640625000444,0.0002633856173160098,87.7835344957779,264.0,0.0,-6.054889292314389e-05
iadc_value,slow_wide_dead,0.1,100,0,0.7329402394142015,0.004431152343749911,0.0014223300663401496,24.910951702971666,118.0,0.0,-3.758949349331749e-05
iadc_value,slow_wide_dead,0.05,5000,0,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.5,39.0,0.0,4.3161125302091e-06
iadc_value,slow_wide_dead,0.1,200,0,0.7330806623186384,0.004431152343749911,0.001341755609699657,41.629985146109604,131.0,0.0,-0.00026621165498368565
iadc_value,slow_wide_dead,0.1,50,0,0.7329449821920957,0.004431152343749911,0.0014347588752070106,21.569225990133578,92.0,0.0,-7.017817300913706e-05
iadc_value,slow_wide_dead,0.1,25,0,0.7329452038236648,0.004431152343749911,0.0014341687706171087,18.827997973558745,80.0,0.0,-7.453469669108918e-05
iadc_value,slow_wide_dead,0.1,500,0,0.73330078125,0.00201416015625,0.0006042480468749926,149.24447307135677,409.0,0.0,-4.747723783201354e-05
iadc_value,fast_small_step,0.1,25,0,0.7329518294921114,0.004229736328124956,0.0014137286969022936,5.710126645719793,30.0,0.0,-8.359803354792504e-05
iadc_value,slow_wide_dead,0.1,1000,0,0.7335957118443082,0.0012084960937500666,0.00036023210697850693,155.6807860016837,446.0,0.0,-3.7272714635284277e-05
iadc_value,slow_wide_dead,0.25,100,0,0.7317948202221419,0.01007080078125,0.0028970023352266495,213.6148109230749,660.0,0.0,-0.00012182914015032804
iadc_value,fast_small_step,0.25,25,0,0.7319007707928635,0.013494873046875022,0.004268178850184053,5.4604865120011,33.0,0.0,-0.00027955491799799967
iadc_value,slow_wide_dead,0.1,2000,0,0.7334619140625,0.0008056640625000444,0.00028198242187501556,154.9739115223947,447.0,0.0,-1.985411763831439e-05
iadc_value,slow_wide_dead,0.25,50,0,0.7317867503446692,0.013696289062499978,0.004364276770704483,31.43602737760906,129.0,0.0,-0.0003638851163839837
iadc_value,slow_wide_dead,0.1,5000,0,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.5,39.0,0.0,4.3161125302091e-06
iadc_value,slow_wide_dead,0.25,200,0,0.7327799769810268,0.005236816406249956,0.0014863483754222239,325.5157662566172,964.0,0.0,-3.6317004003623406e-05
iadc_value,slow_wide_dead,0.25,500,0,0.73370361328125,0.00201416015625,0.0006042480468750149,342.0824457365833,946.0,0.0,-4.747723783173374e-05
peak_ratio,lab_default,0.05,500,0,0.7331468418666295,0.0004028320312500222,0.0001426477129126299,8.99330533320906,39.0,224.0,4.6059086571557554e-05
peak_ratio,lab_default,0.05,200,0,0.7331560920266545,0.0004028320312500222,0.00013856245250967728,8.33939154663199,34.0,224.0,1.512924062208458e-06
peak_ratio,lab_default,0.05,1000,0,0.7331446838378907,0.0004028320312500222,0.0001458528734780085,9.279623689370519,42.0,224.0,2.4154815481656072e-05
iadc_value,slow_wide_dead,0.25,25,0,0.7319034464118951,0.013696289062499978,0.004281164302186582,20.625956864661443,102.0,0.0,-0.00026560679203359517
iadc_value,slow_wide_dead,0.25,1000,0,0.7336230468750001,0.0012084960937500666,0.00036254882812502003,356.7381371824551,995.0,0.0,-2.675989768684718e-05
peak_ratio,lab_default,0.05,100,0,0.733157580032825,0.0004028320312500222,0.00013775390461103753,8.206881568894476,36.0,224.0,1.861828714558664e-06
iadc_value,slow_wide_dead,0.25,2000,0,0.7334619140625,0.0008056640625000444,0.00028198242187501556,358.1282449010667,995.0,0.0,-1.985411763831439e-05
peak_ratio,lab_default,0.05,2000,0,0.7331396484375,0.0004028320312500222,0.00015072594453558561,12.800246629479847,49.0,214.0,1.2085115084276429e-05
peak_ratio,lab_default,0.05,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,15.20496696504676,32.0,224.0,4.316112529554287e-06
peak_ratio,lab_default,0.05,50,0,0.7331580553986782,0.0004028320312500222,0.0001380480542679306,8.08370731558916,36.0,224.0,3.0286518405765322e-06
iadc_value,slow_wide_dead,0.25,5000,0,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.5,39.0,0.0,4.3161125302091e-06
peak_ratio,lab_default,0.1,500,0,0.7331511579241072,0.0008056640624999334,0.00022822110466200714,9.851498772330254,44.0,448.0,7.664182678526647e-05
peak_ratio,lab_default,0.1,1000,0,0.733152596609933,0.0008056640624999334,0.000232920524886356,12.381033882515627,50.0,448.0,3.8475060268564445e-05
peak_ratio,lab_default,0.1,2000,0,0.733179212297712,0.0008056640624999334,0.00024223705707475916,19.168772104117462,58.0,428.0,1.9252944821780686e-05
peak_ratio,lab_default,0.1,200,0,0.7331665039062502,0.0008056640624999334,0.0002250962699680966,9.288710019847931,38.0,448.0,1.282529535223517e-05
peak_ratio,lab_default,0.1,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,21.675345429538048,57.0,448.0,4.316112529554287e-06
peak_ratio,lab_default,0.1,100,0,0.7331681808757528,0.0008056640624999334,0.0002231635265952465,8.968487202728129,38.0,448.0,1.0382387815859236e-05
peak_ratio,lab_default,0.25,500,0,0.7331518772670201,0.0016113281249999778,0.0005391094812742873,12.366946977771853,56.0,1120.0,0.00019670682856085192
peak_ratio,lab_default,0.25,200,0,0.7331901999080882,0.0016113281249999778,0.0005264733902846975,10.377938558618437,47.0,1120.0,2.098126161716396e-05
peak_ratio,lab_default,0.25,1000,0,0.7331900024414063,0.0016113281249999778,0.0005114340936824017,21.890259692104046,61.0,1120.0,9.775994880748237e-05
peak_ratio,lab_default,0.25,2000,0,0.7332000732421876,0.001007080078125,0.0003021240234375,57.18509644218536,153.0,1069.0,2.3738618915679458e-05
peak_ratio,lab_default,0.25,5000,0,0.73330078125,0.0004028320312500222,0.00014242263048802096,66.37725975245512,183.0,1120.0,4.316112529786371e-06
peak_ratio,lab_default,0.05,25,0,0.7331576639561482,0.0004028320312500222,0.00013819923258490504,8.041769474634647,36.0,224.0,2.526487348955484e-06
peak_ratio,lab_default,0.25,100,0,0.7331922573664698,0.0016113281249999778,0.0005274208101542731,9.181452082410036,43.0,1120.0,2.1601444532382782e-05
peak_ratio,lab_default,0.1,50,0,0.7331680318278323,0.0008056640624999334,0.00022326394088770831,8.857833009473847,39.0,448.0,9.475305488630852e-06
peak_ratio,fast_small_step,0.05,1000,0,0.7331590274394488,0.0006042480468749778,0.0001382713867935545,6.075607082720545,30.0,224.0,5.622863769658753e-06
peak_ratio,fast_small_step,0.05,2000,0,0.7331504385811943,0.0006042480468749778,0.00014292856748843757,6.360107655358917,30.0,224.0,5.094554254348793e-05
peak_ratio,fast_small_step,0.05,5000,0,0.733152596609933,0.0004028320312500222,0.00015055419267992573,6.964985312846199,27.0,224.0,3.1754256471805155e-06
peak_ratio,fast_small_step,0.05,500,0,0.7331595430406042,0.0004028320312500222,0.00013682344565031654,5.838930431012501,34.0,224.0,6.818938247860167e-06
peak_ratio,fast_small_step,0.05,200,0,0.7331605719754016,0.0004028320312500222,0.00013508758887961466,5.653614086920051,32.0,224.0,3.9454771629341246e-06
peak_ratio,lab_default,0.25,50,0,0.7331922988176666,0.0016113281249999778,0.0005276377587935811,8.942850434106628,43.0,1120.0,2.3395168381599464e-05
peak_ratio,fast_small_step,0.1,2000,0,0.733152596609933,0.0008056640624999334,0.0002310468519867206,6.986718449592595,38.0,448.0,7.944729992993665e-05
peak_ratio,fast_small_step,0.1,1000,0,0.7331688963756264,0.0008056640624999334,0.00022643876641683871,6.044326781424351,27.0,448.0,1.2564522879365948e-05
peak_ratio,fast_small_step,0.05,100,0,0.7331611250213576,0.0006042480468749778,0.00013485384315397195,5.5058995941318924,29.0,224.0,3.887773995819026e-06
peak_ratio,fast_small_step,0.1,5000,0,0.7331554739815849,0.0008056640624999334,0.0002414207411253063,9.53114590943496,32.0,448.0,-1.2023456336764657e-06
peak_ratio,fast_small_step,0.1,500,0,0.7331727911397367,0.0008056640624999334,0.00022241561685300314,6.162057275382122,33.0,448.0,1.1330852454590591e-05
peak_ratio,fast_small_step,0.1,200,0,0.7331718066929176,0.0008056640624999334,0.00022247505838869714,6.067803793450464,32.0,448.0,1.237834504110821e-05
peak_ratio,lab_default,0.1,25,0,0.7331682718962703,0.0008056640624999334,0.00022152765526282591,8.651475831235636,38.0,448.0,8.726366210243498e-06
peak_ratio,fast_small_step,0.25,1000,0,0.7331922229520462,0.0016113281249999778,0.0005278342778310337,6.8560449353830295,32.0,1120.0,1.8211364745988335e-05
peak_ratio,fast_small_step,0.25,500,0,0.7331905301199311,0.0016113281249999778,0.0005254282862673761,6.435059764375297,34.0,1120.0,2.4334898125601113e-05
peak_ratio,fast_small_step,0.25,2000,0,0.7331590706961496,0.0016113281249999778,0.0005362029552998922,8.364011219114271,36.0,1120.0,0.00019809415044580193
peak_ratio,fast_small_step,0.05,50,0,0.7331616938373579,0.0004028320312500222,0.0001347186740968947,5.453800385685815,29.0,224.0,4.461318673535713e-06
peak_ratio,fast_small_step,0.1,100,0,0.7331718228592774,0.0008056640624999334,0.00022106850933786837,5.890486801342764,32.0,448.0,1.005936544340357e-05
peak_ratio,fast_small_step,0.25,5000,0,0.7331108747209822,0.0016113281249999778,0.0004722221872640238,30.532130115466153,84.0,1120.0,2.466350019134443e-07
